Marcelo Alvaro Antonio,N
Valdir Colatto,S
Luciano Ducci,N
Valadares Filho,N
Weverton Rocha,N
Júlio Lopes,S
João Derly,N
Celso Maldaner,S
Jorge Solla,N
Jutahy Magalhães,S
Toninho Wandscheer,S
Valmir Assunção,N
Nilson Pinto,S
Zeca Do Pt,N
Tadeu Alencar,N
Luizianne Lins,N
Lucio Vieira Lima,S
Junior Marreca,S
Augusto Carvalho,N
Capitão Augusto,S
Luiz Claudio,S
Ronaldo Martins,N
Vitor Lippi,S
Jefferson Campos,S
Marco Tebaldi,S
Artur Bisneto,S
Margarida Salomão,N
Felix Jr,N
Irajá Abreu,S
Marcos Abrão,S
Orlando Silva,N
Uldurico Junior,N
Eliziane Gama,N
Renato Molling,S
Beto Mansur,S
Renzo Braz,S
Rodrigo de Castro,S
Márcio Marinho,S
Cleber Verde,S
Carlos Andrade,N
Foletto,S
Nilton Capixaba,S
Fabio Garcia,S
Rogerio Marinho,S
Aureo,N
Leonardo Quintão,S
Jaiminho Martins,S
Lelo Coimbra,S
Alice Portugal,N
Marcos Rogerio,S
Fraga,S
Celso Pansera,N
Wlad,S
José Mentor,N
Marinaldo Rosendo,S
Jerônimo Goergen,S
Ricardo Izar,S
Andres Sanchez,N
Vinícius Gurgel,S
Laudívio Carvalho,N
Rubens Otoni,N
Pastor Marcelo Aguiar,S
Fernando Monteiro,S
Elizeu Dionizio,S
Pastor Franklin Lima,S
Misael Varella,S
Sergio Vidigal,N
Professora Dorinha,S
Miro Teixeira,N
Betinho Rosado Segundo,S
Edio Lopes,S
Lincoln Portela,N
Alceu Moreira,S
Chico Lopes,N
Pedro Chaves,S
Daniel Vilela,S
Júlio César,S
Brunny,S
Luiz Lauro Filho,S
Peninha,S
Julia Marinho,N
Heitor Schuch,N
Silvio Torres,S
Givaldo,N
Francisco Floriano,S
Vicentinho Junior,S
Veneziano,N
Carlos Sampaio,S
Giacobo,S
Beto Faro,N
Érika Kokay,N
Heraclito,S
Carlos Melles,S
Marcio Alvino,S
Jair Bolsonaro,S
Sergio Souza,S
Ronaldo Nogueira,S
Jô Moraes,N
Jean Wyllys,N
Lucas Vergílio,S
Hissa Abrahão,N
Lucio Mosquini,S
Ota,N
Tereza Cristina,S
Lindomar Garçon,S
Magda Mofatto,S
Sub-tenente Gonzaga,N
Luis Tibe,S
Paes Landim,S
Benito Gama,S
Marcus Pestana,S
Jordy,N
Ezequiel Fonseca,S
Alexandre Serfiotis,S
Daniel Coelho,S
Nilto Tatto,N
Eli Corrêa Filho,S
Wilson Filho,S
Ronaldo Benedet,S
Tenente Lúcio,S
José Carlos Araujo,S
Arlindo Chinaglia,N
Marcelo Matos,S
Sandro Alex,S
Mendonça Filho,S
Andre Fufuca,S
Benjamin Maranhão,S
Luiz Carlos Heinze,S
Alfredo Nascimento,S
Renata Abreu,S
Cabo Sabino,N
Sergio Zveiter,S
Rafael Motta,N
Rômulo Gouveia,S
Mainha,S
Kaio Maniçoba,S
Zé Reinaldo,S
Simão Sessim,S
Danrlei de Deus Goleiro,S
Jorge Boeira,N
Elcione,S
Zé Augusto Nalin,N
Waldenor Pereira,N
Arolde de Oliveira,S
Laércio Oliveira,S
Luciano Braga,S
Osmar Bertoldi,S
Nivaldo Albuquerque,S
Major Olimpio Gomes,N
Stefano Aguiar,N
Edmar Arruda,S
Pollyana Gama,S
Laura Carneiro,S
José Nunes,N
Jones Martins,S
João Paulo Kleinubing,S
Patrus Ananias,N
Pelegrino,N
Paulo Maluf,S
Wilson Silva Beserra,S
Laerte Bessa,S
Maria Helena,S
João Daniel,N
Cabo Daciolo,N
Andre de Paula,S
Dra Zenaide Maia,N
Abel Galinha,S
Roberto de Lucena,N
André Amaral,S
Ricardo Tripoli,S
Irmão Lazaro,N
Luiz Nishimori,S
Fábio Sousa,S
Carlos Bezerra,S
Nelson Padovani,S
Pedro Paulo,S
Danilo Cabral,N
Nelson Marquezelli,S
Evandro Roman,S
Onyx Lorenzoni,S
Izalci,S
Janete,N
Cajar Nardes,S
Jozi Rocha,S
Thame,S
Walter Ihoshi,S
Flaviano Melo,S
Thiago Peixoto,S
Jarbas,S
